"departamento","municipio","totalartefactosdestruidos","areadespejada","ano","mes","tipodesminado","map","muse","aei"
"BOLIVAR","SAN JACINTO",7,50811,2008,11,"Comunidades",0,4,3
"ANTIOQUIA","NARIÑO",3,1502,2014,5,"Comunidades",0,0,3
"CALDAS","SAMANÁ",4,6324,2012,4,"Comunidades",4,0,0
"META","EL DORADO",3,2089,2009,10,"Comunidades",0,0,3
"CALDAS","SAMANÁ",5,13495,2013,7,"Comunidades",5,0,0
"ANTIOQUIA","GRANADA",3,26137,2014,12,"Comunidades",3,0,0
"ANTIOQUIA","GRANADA",4,8828,2013,12,"Comunidades",4,0,0
"CALDAS","SAMANÁ",12,6622,2012,11,"Comunidades",0,0,12
"SANTANDER","SAN VICENTE DE CHUCURÍ",0,6600,2014,9,"Comunidades",0,0,0
"META","VISTAHERMOSA",0,904,2010,3,"Comunidades",0,0,0
"NARIÑO","SAMANIEGO",0,1272,2009,6,"Comunidades",0,0,0
"BOLIVAR","EL CARMEN DE BOLÍVAR",1,9058,2013,5,"Comunidades",1,0,0
"BOLIVAR","EL CARMEN DE BOLÍVAR",1,0,2014,2,"Comunidades",0,1,0
"ANTIOQUIA","EL BAGRE",41,1350.8,2006,11,"Bases Militares",41,0,0
"CALDAS","SAMANÁ",13,14106,2013,11,"Comunidades",12,1,0
"ANTIOQUIA","SAN CARLOS",1,3418,2010,11,"Comunidades",0,1,0
"SANTANDER","SAN VICENTE DE CHUCURÍ",6,3641,2014,8,"Comunidades",5,1,0
"ANTIOQUIA","GRANADA",4,6503,2011,5,"Comunidades",4,0,0
"META","VISTAHERMOSA",12,5717,2010,6,"Comunidades",0,9,3
"CHOCO","BAHÍA SOLANO",19,4421.3,2010,3,"Bases Militares",16,3,0
"VALLE DEL CAUCA","DAGUA",86,4245.19,2009,12,"Bases Militares",86,0,0
"BOLIVAR","EL CARMEN DE BOLÍVAR",2,2306,2013,9,"Comunidades",2,0,0
"CALDAS","SAMANÁ",14,8815,2011,10,"Comunidades",14,0,0
"SANTANDER","EL CARMEN",2,2307,2011,5,"Comunidades",0,0,2
"CALDAS","SAMANÁ",0,3710,2012,6,"Comunidades",0,0,0
"META","EL DORADO",0,0,2014,2,"Comunidades",0,0,0
"ANTIOQUIA","GRANADA",6,8668,2012,10,"Comunidades",0,1,5
"VALLE DEL CAUCA","ROLDANILLO",0,1033.7,2008,5,"Bases Militares",0,0,0
"ANTIOQUIA","NARIÑO",0,2942,2014,6,"Comunidades",0,0,0
"CALDAS","SAMANÁ",2,1890.7,2011,3,"Comunidades",2,0,0
"ANTIOQUIA","SAN FRANCISCO",86,24229,2008,11,"Comunidades",0,0,86
"ANTIOQUIA","GRANADA",2,4910,2014,7,"Comunidades",2,0,0
"ANTIOQUIA","GRANADA",4,7200,2011,10,"Comunidades",3,1,0
"ANTIOQUIA","SAN FRANCISCO",13,8707,2008,5,"Comunidades",0,2,11
"ANTIOQUIA","SAN FRANCISCO",0,382,2013,10,"Comunidades",0,0,0
"ANTIOQUIA","SAN FRANCISCO",4,6788,2013,11,"Comunidades",4,0,0
"NARIÑO","SAMANIEGO",3,3544,2009,7,"Comunidades",0,0,3
"BOLIVAR","ZAMBRANO",0,8379,2010,11,"Comunidades",0,0,0
"SANTANDER","EL CARMEN",1,4263,2011,11,"Comunidades",1,0,0
"ANTIOQUIA","SAN FRANCISCO",5,13286,2012,4,"Comunidades",5,0,0
"ANTIOQUIA","GRANADA",14,27934,2014,10,"Comunidades",14,0,0
"NARIÑO","SAMANIEGO",0,805,2009,5,"Comunidades",0,0,0
"ANTIOQUIA","SAN FRANCISCO",0,2258,2011,2,"Comunidades",0,0,0
"ANTIOQUIA","SAN FRANCISCO",13,3337,2013,3,"Comunidades",9,0,4
