"INDENTIFICADOR_INTERNO","CODIGO_GRUPO","NOMBRE_GRUPO","ANO_CONFORMACION","MES_CONFORMACION","CODIGO_CIUDAD","NOMBRE_CIUDAD","CODIGO_DPTO","NOMBRE_DPTO","ENTIDADES_AVALAN","COD_GRAN_AREA_CONOCIMIENTO","NOMBRE_GRAN_AREA_CONOCIMIENTO","COD_AREA_CONOCIMIENTO","NOMBRE_AREA_CONOCIMIENTO","COD_PROGRAMA_COLCIENCIAS","NOMBRE_PROGRAMA_COLCIENCIAS"
8048,"COL0010708","GRUPO DE MICROELECTRONICA DE LA UNIVERSIDAD NACIONAL DE COLOMBIA - GMUN",1992,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
8049,"COL0007622","GRUPO EN RELACIONES INTERNACIONALES - IEPRI",1986,8,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",5,"CIENCIAS SOCIALES","5F","CIENCIAS POLITICAS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
8050,"COL0009654","GRUPO DE INVESTIGACION  EN DERECHO PUBLICO",1998,8,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DEL ROSARIO",5,"CIENCIAS SOCIALES","5E","DERECHO",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
8051,"COL0011278","GRUPO DE INVESTIGACIONES. FACULTAD DE ECONOMIA. UNIVERSIDAD DEL ROSARIO",1997,9,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DEL ROSARIO",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
8052,"COL0003946","ETICA APLICADA; TRABAJO Y RESPONSABILIDAD SOCIAL",1998,8,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DEL ROSARIO",6,"HUMANIDADES","6E","OTRAS HUMANIDADES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
8053,"COL0007293","GRUPO ESTUDIOS DE FAMILIA",1990,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EXTERNADO DE COLOMBIA",5,"CIENCIAS SOCIALES","5D","SOCIOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
8054,"COL0011625","GRUPO: INFANCIAS",1999,2,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
8055,"COL0003187","DIDAQUIM",1995,10,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
8056,"COL0007346","GRUPO FISICA E INFORMATICA",1997,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",1,"CIENCIAS NATURALES","1C","CIENCIAS FISICAS",5,"CIENCIAS BASICAS"
8060,"COL0005879","GRUPO DE FISICA DE ALTAS ENERGIAS DE LA UNIVERSIDAD DE LOS ANDES",1988,5,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DE LOS ANDES - UNIANDES",1,"CIENCIAS NATURALES","1C","CIENCIAS FISICAS",5,"CIENCIAS BASICAS"
