"INDENTIFICADOR_INTERNO","CODIGO_GRUPO","NOMBRE_GRUPO","ANO_CONFORMACION","MES_CONFORMACION","CODIGO_CIUDAD","NOMBRE_CIUDAD","CODIGO_DPTO","NOMBRE_DPTO","ENTIDADES_AVALAN","COD_GRAN_AREA_CONOCIMIENTO","NOMBRE_GRAN_AREA_CONOCIMIENTO","COD_AREA_CONOCIMIENTO","NOMBRE_AREA_CONOCIMIENTO","COD_PROGRAMA_COLCIENCIAS","NOMBRE_PROGRAMA_COLCIENCIAS"
797,"COL0012981","COMERCIO ELECTRONICO",1999,9,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EXTERNADO DE COLOMBIA",5,"CIENCIAS SOCIALES","5E","DERECHO",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
798,"COL0009009","GRUPO DE INVESTIGACIãN EN DERECHO Y ECONOMIA",2002,12,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EXTERNADO DE COLOMBIA",5,"CIENCIAS SOCIALES","5E","DERECHO",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
799,"COL0026806","DESARROLLO; AFECTIVIDAD Y COGNICION",1987,2,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",5,"CIENCIAS SOCIALES","5A","PSICOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
800,"COL0026815","GIROPS",2000,2,1,"Pereira",66,"Risaralda","UNIVERSIDAD TECNOLOGICA DE PEREIRA UTP",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
802,"COL0026833","PAIDEIA",2004,8,1,"Pereira",66,"Risaralda","FUNDACION UNIVERSITARIA DEL AREA ANDINA - SECCIONAL PEREIRA",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
803,"COL0026842","GRUPO NUEVAS TECNOLOGIAS - UDES",2003,1,1,"Bucaramanga",68,"Santander","UNIVERSIDAD DE SANTANDER",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
804,"COL0001299","CENTRO DE ESTUDIOS FISCALES",1998,7,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EXTERNADO DE COLOMBIA",5,"CIENCIAS SOCIALES","5E","DERECHO",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
806,"COL0026879","GRUPO DE INVESTIGACION Y DESARROLLO TECNOLOGICO ONTARE",2003,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EAN",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
807,"COL0026889","COMUNICACION; CULTURA Y SOCIEDAD",2000,9,1,"Manizales",17,"Caldas","UNIVERSIDAD DE CALDAS UNICALDAS",9,"POR DEFINIR","9Z","POR DEFINIR",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
808,"COL0026898","GRUPO DE INVESTIGACION EN BIOCOMBUSTIBLES - GRUBIOC",2004,1,1,"Cali",76,"Valle","UNIVERSIDAD AUTONOMA DE OCCIDENTE - UAO; UNIVERSIDAD DEL VALLE - UNIVALLE; UNIVERSIDAD LIBRE DE COLOMBIA CALI",2,"INGENIERIA Y TECNOLOGIA","2I","BIOTECNOLOGIA INDUSTRIAL",11,"INVESTIGACIONES EN ENERGIA Y MINERIA"
809,"COL0026904","GRUPO DE APOYO PEDAGOGICO Y FORMACION DOCENTE",1998,3,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
810,"COL0026913","INFORMATICA",2000,1,1,"Pereira",66,"Risaralda","UNIVERSIDAD TECNOLOGICA DE PEREIRA UTP",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
811,"COL0026922","GESTION Y DESARROLLO EMPRESARIAL",2004,7,1,"Cartagena",13,"Bolivar","FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO CARTAGENA",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
812,"COL0006008","GRUPO DE INVESTIGACION EN DERECHO ADMINISTRATIVO",1996,2,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EXTERNADO DE COLOMBIA",5,"CIENCIAS SOCIALES","5E","DERECHO",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
813,"COL0004442","ESTADO Y ECONOMIA",1999,2,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EXTERNADO DE COLOMBIA",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",5,"CIENCIAS BASICAS"
814,"COL0026959","OBSERVATORIO PEDAGOGICO DE INTEGRACION MUTIMEDIA - OPIM",2002,4,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSITARIA DEL AREA ANDINA SECCIONAL BOGOTA",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
815,"COL0026969","TECNIMAT",2003,2,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSIDAD CENTRAL",1,"CIENCIAS NATURALES","1A","MATEMATICA",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
816,"COL0026978","HISTORIA Y LITERATURA",2002,2,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",6,"HUMANIDADES","6B","IDIOMAS Y LITERATURA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
817,"COL0026987","GRUPO DE INVESTIGACION EN ESTADISTICA APLICADA - INFERIR",2002,3,1,"Cali",76,"Valle","UNIVERSIDAD DEL VALLE - UNIVALLE",1,"CIENCIAS NATURALES","1A","MATEMATICA",0,"NO APLICA"
818,"COL0026996","GRUPO DE INVESTIGACION EN TELEMATICA E INFORMATICA APLICADA",2003,1,1,"Cali",76,"Valle","UNIVERSIDAD AUTONOMA DE OCCIDENTE - UAO",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
819,"COL0027008","DISENO Y CONSTRUCCION DE PROTOTIPOS PARA EXPERIMENTOS DE DEMOSTRACION",2002,7,1,"Pereira",66,"Risaralda","UNIVERSIDAD TECNOLOGICA DE PEREIRA UTP",1,"CIENCIAS NATURALES","1C","CIENCIAS FISICAS",5,"CIENCIAS BASICAS"
822,"COL0027035","URDIMBRE",2003,5,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD ANTONIO NARINO",5,"CIENCIAS SOCIALES","5D","SOCIOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
824,"COL0014199","OBSERVATORIO DE ECONOMIA Y OPERACIONES NUMERICAS ODEON",2002,2,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EXTERNADO DE COLOMBIA",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
825,"COL0027062","MATERIALES-ELECTRONICA-MODELAMIENTO: MEM",2001,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD SANTO TOMAS",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
826,"COL0027071","GRUPO DE INVESTIGACION PARA LA PRODUCTIVIDAD Y LA COMPETITIVIDAD EN LAS ORGANIZACIONES",2000,9,1,"Pereira",66,"Risaralda","UNIVERSIDAD TECNOLOGICA DE PEREIRA UTP",5,"CIENCIAS SOCIALES","5G","GEOGRAFIA SOCIAL Y ECONOMICA",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
828,"COL0016621","TURISMO Y SOCIEDAD",1999,12,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EXTERNADO DE COLOMBIA",5,"CIENCIAS SOCIALES","5A","PSICOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
830,"COL0027115","POIESIS XXI",2004,2,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",6,"HUMANIDADES","6B","IDIOMAS Y LITERATURA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
832,"COL0027133","INTEGRAR",2004,2,518,"Pamplona",54,"Norte Santander","UNIVERSIDAD DE PAMPLONA - UDP",1,"CIENCIAS NATURALES","1C","CIENCIAS FISICAS",5,"CIENCIAS BASICAS"
833,"COL0023259","ECONOMIA; TRABAJO Y SOCIEDAD",1990,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EXTERNADO DE COLOMBIA",5,"CIENCIAS SOCIALES","5D","SOCIOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
834,"COL0027151","MICROBIOLOGIA DEL SUELO",1998,1,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD NACIONAL DE COLOMBIA",1,"CIENCIAS NATURALES","1E","CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
835,"COL0011939","PENSAMIENTO E HISTORIA  ECONOMICA",1999,2,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EXTERNADO DE COLOMBIA",6,"HUMANIDADES","6A","HISTORIA Y ARQUEOLOGIA",5,"CIENCIAS BASICAS"
836,"COL0027179","DESARROLLO INSTITUCIONAL INTEGRADO",2001,2,1,"Florencia",18,"Caqueta","UNIVERSIDAD DE LA AMAZONIA",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
837,"COL0014618","PEDAGOGIA DE LA LECTOESCRITURA",1991,3,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EXTERNADO DE COLOMBIA",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
838,"COL0027198","EDUCACION Y DESARROLLO HUMANO",2002,7,1,"Pereira",66,"Risaralda","UNIVERSIDAD TECNOLOGICA DE PEREIRA UTP",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
840,"COL0027213","GRUPO  INGENIERIA DE TEJIDOS Y TERAPIAS CELULARES",1998,1,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD DE ANTIOQUIA - UDEA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
841,"COL0027222","CIENCIAS SOCIALES CULTURA FISICA DEPORTE Y RECREACION",2001,7,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD SANTO TOMAS",3,"CIENCIAS MEDICAS Y DE LA SALUD","3C","CIENCIAS DE LA SALUD",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
843,"COL0007248","GRUPO EDUCACION MATEMATICA",1996,8,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EXTERNADO DE COLOMBIA",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
844,"COL0003552","DIDACTICA DEL INGLES",1996,9,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EXTERNADO DE COLOMBIA",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
845,"COL0014126","OPERA - OBSERVATORIO DE POLITICAS; EJECUCION Y RESULTADOS DE LA ADMINISTRACION PUBLICA",1995,8,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EXTERNADO DE COLOMBIA",5,"CIENCIAS SOCIALES","5F","CIENCIAS POLITICAS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
846,"COL0027278","CREATIVIDAD",2002,2,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD SANTO TOMAS",6,"HUMANIDADES","6E","OTRAS HUMANIDADES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
848,"COL0014921","PROCESOS SOCIALES; TERRITORIOS Y MEDIO AMBIENTE",2000,2,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EXTERNADO DE COLOMBIA",5,"CIENCIAS SOCIALES","5I","OTRAS CIENCIAS SOCIALES",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
850,"COL0027311","VIVENCIAS",2000,7,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS; UNIVERSIDAD DE PAMPLONA - UDP",5,"CIENCIAS SOCIALES","5A","PSICOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
851,"COL0027329","ESTUDIOS EN PENSAMIENTO FILOSOFICO EN COLOMBIA Y AMERICA LATINA- FRAY BARTOLOME DE LAS CASAS",1985,9,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD SANTO TOMAS",6,"HUMANIDADES","6E","OTRAS HUMANIDADES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
853,"COL0027349","PSICOLOGIA; SALUD Y CALIDAD DE VIDA",2002,7,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD SANTO TOMAS",5,"CIENCIAS SOCIALES","5A","PSICOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
854,"COL0023528","ESTUDIOS DE POBLACION Y DEMOGRAFIA",1999,2,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EXTERNADO DE COLOMBIA",5,"CIENCIAS SOCIALES","5D","SOCIOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
855,"COL0027367","GRUPO DE ESTUDIOS MACROECONOMICOS",2003,8,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD MILITAR NUEVA GRANADA UNIMILITAR",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
856,"COL0014171","OASIS - OBSERVATORIO DE ANALISIS DE LOS SISTEMAS INTERNACIONALES",1993,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EXTERNADO DE COLOMBIA",5,"CIENCIAS SOCIALES","5F","CIENCIAS POLITICAS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
857,"COL0006966","GESTION Y DESARROLLO DE INSTITUCIONES EDUCATIVAS",1994,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EXTERNADO DE COLOMBIA",9,"POR DEFINIR","9Z","POR DEFINIR",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
858,"COL0013969","NIDE - NUCLEO DE INVESTIGACION EN DATOS ESPACIALES",1998,7,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",1,"CIENCIAS NATURALES","1E","CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
859,"COL0027409","GRUPO DE INVESTIGACION EN MATEMATICAS UNINORTE",2002,3,1,"Barranquilla",8,"Atlantico","UNIVERSIDAD DEL NORTE - UNINORTE",1,"CIENCIAS NATURALES","1A","MATEMATICA",5,"CIENCIAS BASICAS"
860,"COL0027419","TERAPIAS ALTERNATIVAS",2002,7,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD MANUELA BELTRAN",3,"CIENCIAS MEDICAS Y DE LA SALUD","3C","CIENCIAS DE LA SALUD",0,"NO APLICA"
861,"COL0000793","BIONEMESIS",2002,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",9,"POR DEFINIR","9Z","POR DEFINIR",1,"BIOTECNOLOGIA"
864,"COL0027456","SALUD Y SOCIEDAD",2000,1,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD DE ANTIOQUIA - UDEA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3C","CIENCIAS DE LA SALUD",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
865,"COL0027465","URBANIA: HISTORIA URBANA Y REGIONAL DEL ORIENTE COLOMBIANO",2004,7,518,"Pamplona",54,"Norte Santander","UNIVERSIDAD DE PAMPLONA - UDP",6,"HUMANIDADES","6D","ARTE",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
866,"COL0027474","MICROZONIFICACION SISMICA Y SISMOLOGIA",1997,5,1,"Bogot ",11,"Distrito Capital","JG ASOCIADOS LTDA",1,"CIENCIAS NATURALES","1E","CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
868,"COL0027492","GRUPO PEDAGOGIA Y CURRICULO",2003,4,1,"Popayan",19,"Cauca","UNIVERSIDAD DEL CAUCA UNICAUCA",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
869,"COL0027509","GIAS: GANADERIA Y AGRICULTURA SOSTENIBLE",2003,4,518,"Pamplona",54,"Norte Santander","UNIVERSIDAD DE PAMPLONA - UDP",4,"CIENCIAS AGRICOLAS","4A","AGRICULTURA SILVICULTURA Y PESCA",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
870,"COL0000729","BIOLOGIA MOLECULAR    BIOMOLC",1998,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",5,"CIENCIAS BASICAS"
871,"COL0012963","LABORATORIO DE INVESTIGACION EN FUENTES ALTERNATIVAS DE ENERGIA (LIFAE)",1997,12,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
873,"COL0027536","GRUPO DE INVESTIGACION EN MATERIALES GIM",2004,5,1,"Bucaramanga",68,"Santander","UNIVERSIDAD PONTIFICIA BOLIVARIANA SECCIONAL BUCARAMANGA",1,"CIENCIAS NATURALES","1C","CIENCIAS FISICAS",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
874,"COL0027545","ENSENANZA DEL LENGUAJE-ELECDIS",2000,2,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD PEDAGOGICA NACIONAL UPN",6,"HUMANIDADES","6B","IDIOMAS Y LITERATURA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
876,"COL0010163","GRUPO DE INVESTIGACION EN PROTECCIONES ELECTRICAS DE LA UNIVERSIDAD DISTRITAL (GIPUD)",2002,6,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",11,"INVESTIGACIONES EN ENERGIA Y MINERIA"
877,"COL0005664","GITUD",2000,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
878,"COL0027572","GESTION ORGANIZACIONAL",2002,5,1,"Cali",76,"Valle","UNIVERSIDAD LIBRE DE COLOMBIA CALI",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
879,"COL0012883","LABORATORIO DE AUTOMATICA; E INTELIGENCIA COMPUTACIONAL ( LAMIC)",1999,6,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
881,"COL0027607","CENTRO DE INNOVACIONES EDUCATIVAS EN CIENCIAS",1999,7,1,"Bogot ",11,"Distrito Capital","FUNDACION REVISTA DE EDUCACION DE LAS CIENCIAS",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
882,"COL0027616","GRUPO DE INVESTIGACION EN INGENIERIA DE RECURSOS HIDRICOS Y  SUELOS",2002,1,1,"Cali",76,"Valle","UNIVERSIDAD DEL VALLE - UNIVALLE",1,"CIENCIAS NATURALES","1E","CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
883,"COL0011142","GRUPO DE COMPATIBILIDAD E INTERFERENCIA ELECTROMAGNETICA GCEM",2002,5,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",11,"INVESTIGACIONES EN ENERGIA Y MINERIA"
885,"COL0027643","MEDICINA Y SANIDAD ANIMAL",2000,7,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DE LA SALLE UNISALLE",4,"CIENCIAS AGRICOLAS","4C","CIENCIAS VETERINARIAS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
886,"COL0027652","GRUPO DE INVESTIGACION EN MARKETING GIM",2002,5,1,"Barranquilla",8,"Atlantico","UNIVERSIDAD DEL NORTE - UNINORTE",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
888,"COL0006509","GRUPO DE SISTEMAS EXPERTOS Y SIMULACION",2001,5,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
889,"COL0009565","GRUPO DE INVESTIGACION EN COMPETITIVIDAD DE LA INDUSTRIA COLOMBIANA GICIC",1999,10,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
890,"COL0027699","GITEL GRUPO DE INVESTIGACION EN TELECOMUNICACIONES",2001,3,1,"Bucaramanga",68,"Santander","UNIVERSIDAD PONTIFICIA BOLIVARIANA SECCIONAL BUCARAMANGA",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
891,"COL0011966","GESTION EMPRESARIAL E INNOVACION TECNOLOGICA GEIT",2001,3,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS; TEAM INGENIERIA DE CONOCIMIENTO LTDA",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
892,"COL0027714","FRAY SATURNINO GUTIERREZ; O. P.  FILOSOFIA DE LA EDUCACION EN COLOMBIA Y AMERICA LATINA",1999,2,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD SANTO TOMAS",6,"HUMANIDADES","6E","OTRAS HUMANIDADES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
893,"COL0027723","OPTOMETRIA PEDIATRICA ; TERAPIA Y REHABILITACION VISUAL",2001,5,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DE LA SALLE UNISALLE",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
895,"COL0027741","GRUPO COOPERATIVO EN EXPERIENCIAS DIDACTICAS.",2004,1,1,"Ibagu‚",73,"Tolima","UNIVERSIDAD COOPERATIVA DE COLOMBIA",1,"CIENCIAS NATURALES","1C","CIENCIAS FISICAS",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
897,"COL0027769","ARMONIZACION Y VALUACION CONTABLE",2003,12,1,"Cali",76,"Valle","UNIVERSIDAD LIBRE DE COLOMBIA CALI",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
898,"COL0018519","GRUPO DE ESTUDIO E INVESTIGACION EN EDUCACION MATEMATICA GEMAT",1998,5,1,"Valledupar",20,"Cesar","UNIVERSIDAD POPULAR DEL CESAR UPC",1,"CIENCIAS NATURALES","1A","MATEMATICA",5,"CIENCIAS BASICAS"
900,"COL0027788","GRUPO INTERDISCIPLINARIO ESTUDIO DEL PENSAMIENTO NUMERICO; POLITICAS PUBLICAS; PRODUCCION AGRARIA Y MEDIO AMBIENTE.",2000,1,1,"Valledupar",20,"Cesar","UNIVERSIDAD POPULAR DEL CESAR UPC",1,"CIENCIAS NATURALES","1E","CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES",5,"CIENCIAS BASICAS"
